,count,mean,std,min,25%,50%,75%,max
combo_nrem_rmssd_mean_ms,211.0,36.88582089099526,22.574160555173698,20.053512,26.2053455,30.588749,37.992417,212.085984
combo_nrem_rmssd_median_ms,211.0,35.38302783886255,23.06841790184661,19.619562,25.456453,29.159744,35.890786500000004,212.343384
combo_nrem_sdnn_mean_ms,211.0,46.12363576303318,23.63392599829695,17.495188,31.903747,39.565783,52.40357,185.716414
combo_nrem_sdnn_median_ms,211.0,42.6676562085308,22.983443282233708,14.871357,28.6396545,36.826299,48.999245,163.94682
combo_nrem_sleep_hours,213.0,5.453605920187794,1.033788440920144,0.0,4.836389,5.397778,6.025556,8.080278
combo_pre_sleep_wake_hf,157.0,375.17768697452226,449.7060938977982,40.57866,126.453102,239.826886,444.82622,3639.24902
combo_pre_sleep_wake_hr_mean,202.0,68.18429548019802,10.590384412453629,35.391222,61.192147000000006,66.01266100000001,76.64145825,97.443632
combo_pre_sleep_wake_hr_median,202.0,67.63929997029703,10.72669877612948,35.294118,60.724415,65.669257,76.05418975,96.578947
combo_pre_sleep_wake_hr_std,202.0,3.568526915841584,2.4192169330702504,0.0,2.0031719999999997,3.087232,4.72792775,15.781123
combo_pre_sleep_wake_lf,157.0,595.5018945923566,720.0574612158391,12.850798,162.503305,332.356883,629.98005,4409.950026
combo_pre_sleep_wake_lf_hf,157.0,2.0203929108280256,1.7823001829406209,0.084751,0.79537,1.496004,2.738015,9.393327
combo_pre_sleep_wake_lf_hf_fixed_mean,157.0,2.0203929108280256,1.7823001829406209,0.084751,0.79537,1.496004,2.738015,9.393327
combo_pre_sleep_wake_lf_hf_fixed_median,157.0,1.630692388535032,1.5300134677210955,0.084751,0.597929,1.181713,2.175231,8.68043
combo_pre_sleep_wake_lf_hf_fixed_n_windows_total,211.0,228.48815165876778,53.80302347581217,0.0,213.5,235.0,257.0,299.0
combo_pre_sleep_wake_lf_hf_fixed_n_windows_valid,211.0,4.312796208530806,3.423556665110664,0.0,0.0,5.0,7.0,13.0
combo_pre_sleep_wake_lf_hf_fixed_total_min,211.0,456.97630331753555,107.60604695162434,0.0,427.0,470.0,514.0,598.0
combo_pre_sleep_wake_lf_hf_fixed_valid_min,211.0,8.625592417061611,6.847113330221328,0.0,0.0,10.0,14.0,26.0
combo_pre_sleep_wake_lf_hf_fixed_valid_pct,203.0,1.892118226600985,1.4413404603309166,0.0,0.5,2.0,2.9,6.2
combo_pre_sleep_wake_rmssd_mean_ms,194.0,37.09070721649485,24.530684588908944,17.67767,26.048346249999998,31.0169565,39.17618175,230.205839
combo_pre_sleep_wake_rmssd_median_ms,157.0,34.5938251910828,20.920210395384117,19.652887,25.918501,30.053715,37.84292,233.895143
combo_pre_sleep_wake_sdnn_mean_ms,201.0,52.452016452736316,32.71658241636405,0.0,33.638738,43.862875,61.758246,231.840462
combo_pre_sleep_wake_sdnn_median_ms,201.0,50.40860337313433,32.60412077095649,0.0,31.179511,41.915086,59.441195,231.840462
combo_pre_sleep_wake_sleep_hours,211.0,0.23870324644549767,0.11826578587726692,0.083056,0.099722,0.274722,0.316389,0.591389
combo_rem_hf,210.0,355.0239007571429,614.635297946178,34.648097,111.3687075,190.4911245,322.49147875,5516.533256
combo_rem_hr_mean,211.0,63.96573192417061,8.164530312636415,36.475755,57.329468500000004,63.643114,70.0564445,83.867867
combo_rem_hr_median,211.0,63.5110305592417,8.210527223254172,35.427777,56.7967795,63.543979,69.4665695,84.25266
combo_rem_hr_std,211.0,4.6438923649289094,1.515119133456192,1.442042,3.6620745,4.547081,5.499096,10.619629
combo_rem_lf,210.0,707.5760527857143,1003.2989053802198,13.173234,230.45245925,443.175705,739.6891215,7750.402981
combo_rem_lf_hf,210.0,3.0206999904761904,2.049545942977678,0.192535,1.629631,2.5560355,4.0629735,13.378533
combo_rem_lf_hf_fixed_mean,210.0,3.0206999904761904,2.049545942977678,0.192535,1.629631,2.5560355,4.0629735,13.378533
combo_rem_lf_hf_fixed_median,210.0,2.307477514285714,1.7015559440796522,0.14344,1.18120075,1.8088745,3.02286725,13.635423
combo_rem_lf_hf_fixed_n_windows_total,213.0,235.4882629107981,37.07076485418055,0.0,216.0,237.0,258.0,299.0
combo_rem_lf_hf_fixed_n_windows_valid,213.0,21.629107981220656,13.054620292946174,0.0,13.0,20.0,29.0,56.0
combo_rem_lf_hf_fixed_total_min,213.0,470.9765258215962,74.1415297083611,0.0,432.0,474.0,516.0,598.0
combo_rem_lf_hf_fixed_valid_min,213.0,43.25821596244131,26.109240585892348,0.0,26.0,40.0,58.0,112.0
combo_rem_lf_hf_fixed_valid_pct,211.0,9.299052132701421,5.570115759430832,0.0,5.15,8.5,13.2,28.4
combo_rem_rmssd_mean_ms,211.0,34.35670136492891,20.714606703603003,19.718608,24.9389825,28.38709,34.5338395,193.107853
combo_rem_rmssd_median_ms,211.0,33.23423378672985,20.53797209230457,19.458435,24.191494,27.280301,33.8965765,184.940684
combo_rem_sdnn_mean_ms,211.0,51.89111503791469,22.646331833496493,16.63969,38.142337,47.855066,59.6775245,167.043313
combo_rem_sdnn_median_ms,211.0,48.499275758293834,23.305138924388388,15.05485,33.4505675,44.610157,56.9139385,169.427567
combo_rem_sleep_hours,213.0,1.4119874460093895,0.5377974384294048,0.0,1.0575,1.390278,1.798611,3.048056
combo_wake_sleep_hf,213.0,445.18105493427225,678.923336509165,52.197295,147.251687,218.314088,429.679694,4586.106786
combo_wake_sleep_hr_mean,213.0,63.64173065258216,8.336677168049105,34.69043,57.213396,63.342141,70.349056,85.195339
combo_wake_sleep_hr_median,213.0,62.97756120187794,8.450779010135514,34.132397,56.791089,62.501789,69.608299,85.879982
combo_wake_sleep_hr_std,213.0,5.1999376103286385,1.6764539433784638,2.438717,4.070181,4.967143,5.939645,14.441603
combo_wake_sleep_lf,213.0,928.8927624694836,1305.6956751524074,48.181049,311.591291,506.343912,894.602156,8029.989322
combo_wake_sleep_lf_hf,213.0,3.0439756854460094,2.1160649034473944,0.185964,1.652929,2.432635,3.731857,12.015675
combo_wake_sleep_lf_hf_fixed_mean,213.0,3.0439756854460094,2.1160649034473944,0.185964,1.652929,2.432635,3.731857,12.015675
combo_wake_sleep_lf_hf_fixed_median,213.0,2.1327781408450703,1.6304483432816612,0.11159,1.09072,1.661756,2.67121,10.087329
combo_wake_sleep_lf_hf_fixed_n_windows_total,213.0,236.95774647887325,30.208444068023354,134.0,216.0,237.0,258.0,299.0
combo_wake_sleep_lf_hf_fixed_n_windows_valid,213.0,163.7605633802817,47.98362479781732,32.0,134.0,167.0,199.0,266.0
